work_year,job_title,salary_in_usd,company_size
2024,Data Scientist,120000,S
2024,Data Scientist,70000,S
2024,Data Scientist,130000,M
2024,Data Scientist,110000,M
2024,Data Science Manager,240000,M
2024,Data Science Manager,180000,M
2024,Business Intelligence Engineer,202800,M
2024,Business Intelligence Engineer,115000,M
2024,Data Architect,100000,M
2024,Data Architect,56250,M
2024,Data Analyst,69230,M
2024,Data Analyst,57692,M
2024,Data Analyst,112300,M
2024,Data Analyst,75100,M
2024,Business Intelligence,178200,M
2024,Business Intelligence,87000,M
2024,Data Scientist,138000,M
2024,Data Scientist,72000,M
2024,ML Engineer,252000,M
2024,ML Engineer,168000,M
2024,Data Modeler,140000,M
2024,Data Modeler,130000,M
2024,Machine Learning Engineer,190000,M
2024,Machine Learning Engineer,100000,M
2024,Data Scientist,150650,M
2024,Data Scientist,106700,M
2024,Data Scientist,192300,M
2024,Data Scientist,107900,M
2024,Data Integration Specialist,115000,M
2024,Data Integration Specialist,95500,M
2024,Research Scientist,195000,M
2024,Research Scientist,160000,M
2024,Data Scientist,257600,M
2024,Data Scientist,146000,M
2024,Data Analyst,90000,M
2024,Data Analyst,70000,M
2024,Machine Learning Engineer,122222,S
2024,Machine Learning Engineer,77777,S
2024,Data Engineer,158200,M
2024,Data Engineer,74100,M
2024,Data Engineer,231400,M
2024,Data Engineer,170955,M
2024,Data Engineer,137000,M
2024,Data Engineer,60300,M
2024,Data Analyst,101098,M
2024,Data Analyst,59469,M
2024,Data Product Manager,166363,M
2024,Data Product Manager,103977,M
2024,Data Manager,166000,M
2024,Data Manager,104000,M
2024,Research Scientist,170400,M
2024,Research Scientist,123800,M
2024,Data Visualization Specialist,94763,M
2024,Data Visualization Specialist,67750,M
2024,Machine Learning Engineer,251250,M
2024,Machine Learning Engineer,120750,M
2024,Data Analyst,33333,M
2024,Data Analyst,28666,M
2024,Data Scientist,189615,M
2024,Data Scientist,150385,M
2024,Data Science,283800,M
2024,Data Science,234700,M
2024,Data Scientist,109000,M
2024,Data Scientist,93000,M
2024,Data Scientist,164000,M
2024,Data Scientist,131000,M
2024,Data Specialist,57008,M
2024,Data Specialist,38651,M
2024,Data Analyst,68750,M
2024,Data Analyst,56250,M
2024,Business Intelligence Lead,144300,M
2024,Business Intelligence Lead,104800,M
2024,Data Engineer,212750,M
2024,Data Engineer,157250,M
2024,Data Analyst,150000,M
2024,Data Analyst,129200,M
2024,Machine Learning Engineer,265000,M
2024,Machine Learning Engineer,170000,M
2024,Data Scientist,190000,M
2024,Data Scientist,155000,M
2024,Data Engineer,165000,M
2024,Data Engineer,100000,M
2024,Data Engineer,213900,M
2024,Data Engineer,126500,M
2024,Research Analyst,130000,M
2024,Research Analyst,104000,M
2024,Machine Learning Engineer,225000,M
2024,Machine Learning Engineer,66000,M
2024,ML Engineer,220000,M
2024,Business Intelligence Analyst,110000,M
2024,Business Intelligence Analyst,85000,M
2024,Machine Learning Engineer,282000,M
2024,Machine Learning Engineer,188000,M
2024,Data Science,219650,M
2024,Data Science,136000,M
2024,Data Science,210850,M
2024,Data Science,145400,M
2024,Data Analyst,143800,M
2024,Data Analyst,106300,M
2024,AI Engineer,150000,M
2024,AI Engineer,90200,M
2024,Data Engineer,140000,M
2024,Data Engineer,110000,M
2024,Data Analyst,140000,M
2024,Data Analyst,120000,M
2024,AI Software Engineer,117647,S
2024,Research Scientist,138000,M
2024,Research Scientist,86000,M
2024,Data Scientist,199700,M
2024,Data Scientist,70800,M
2024,Research Analyst,175000,M
2024,Research Analyst,130000,M
2024,Data Architect,169847,M
2024,Data Architect,131631,M
2024,Machine Learning Scientist,277000,M
2024,Machine Learning Scientist,173000,M
2024,Machine Learning Engineer,264500,M
2024,Machine Learning Engineer,165600,M
2024,Business Intelligence,194000,M
2024,Business Intelligence,168000,M
2024,Data Engineer,90000,M
2024,Data Engineer,70000,M
2024,Data Scientist,137000,M
2024,Data Scientist,60400,M
2024,Data Science,197689,M
2024,Data Science,152311,M
2024,Research Analyst,209500,M
2024,Research Analyst,147500,M
2024,Data Engineer,170000,M
2024,Data Engineer,146000,M
2024,Machine Learning Engineer,220600,M
2024,Machine Learning Engineer,140100,M
2024,AI Engineer,236872,M
2024,AI Engineer,148045,M
2024,Data Science Engineer,143896,M
2024,Data Science Engineer,99208,M
2024,Applied Scientist,250000,M
2024,Applied Scientist,160000,M
2024,ML Engineer,200000,M
2024,ML Engineer,25000,M
2024,Data Engineer,137500,M
2024,Data Engineer,81500,M
2024,Data Science,209700,M
2024,Data Science,161300,M
2024,Data Scientist,249000,M
2024,Data Scientist,216000,M
2024,Data Engineer,170040,M
2024,Data Engineer,113360,M
2024,Machine Learning Operations Engineer,178250,M
2024,Machine Learning Operations Engineer,110500,M
2024,Data Analyst,83300,M
2024,Data Analyst,47500,M
2024,Data Scientist,200000,M
2024,Data Scientist,148500,M
2024,Data Architect,138000,M
2024,Data Architect,120000,M
2024,Research Scientist,250000,M
2024,Research Scientist,200000,M
2024,Data Engineer,110000,M
2024,Data Engineer,90000,M
2024,Data Engineer,142000,M
2024,Data Engineer,129500,M
2024,Data Product Manager,210554,M
2024,Data Product Manager,131596,M
2024,Data Engineer,170000,M
2024,Data Engineer,130000,M
2024,Data Engineer,159550,M
2024,Data Engineer,113000,M
2024,Data Engineer,135000,M
2024,Data Engineer,100000,M
2024,Machine Learning Engineer,245400,M
2024,Machine Learning Engineer,139000,M
2024,Data Engineer,190000,M
2024,Data Engineer,167000,M
2024,Machine Learning Engineer,304000,M
2024,Machine Learning Engineer,244000,M
2024,Data Analyst,62500,M
2024,Data Analyst,55000,M
2024,Data Scientist,247600,L
2024,Data Scientist,127300,L
2024,Data Science,210000,M
2024,Data Science,170000,M
2024,Applied Scientist,222200,L
2024,Applied Scientist,136000,L
2024,Research Analyst,200000,M
2024,Research Analyst,151300,M
2024,Data Scientist,110000,M
2024,Data Scientist,90000,M
2024,Data Analyst,156000,M
2024,Data Analyst,94000,M
2024,Research Scientist,212800,L
2024,Research Scientist,124100,L
2024,Analytics Engineer,195000,M
2024,Analytics Engineer,140000,M
2024,Data Management Analyst,199068,M
2024,Data Management Analyst,150000,M
2024,Data Science,250900,M
2024,Data Science,173100,M
2024,Data Analyst,95000,M
2024,Data Analyst,80000,M
2024,Data Scientist,66666,M
2024,Data Scientist,44444,M
2024,Data Engineer,138000,M
2024,Data Engineer,86000,M
2024,AI Engineer,186754,M
2024,AI Engineer,101000,M
2024,Data Scientist,234000,M
2024,Data Scientist,146000,M
2024,Research Scientist,96200,M
2024,Research Scientist,69800,M
2024,Encounter Data Management Professional,96200,M
2024,Encounter Data Management Professional,69800,M
2024,Business Intelligence,170000,M
2024,Business Intelligence,150000,M
2024,Data Engineer,157500,M
2024,Data Engineer,149900,M
2024,Data Analyst,169000,M
2024,Data Analyst,105000,M
2024,Data Engineer,148017,M
2024,Data Engineer,87069,M
2024,Data Specialist,106336,M
2024,Data Specialist,83150,M
2024,Data Analytics Specialist,130000,M
2024,Data Analytics Specialist,91000,M
2024,Data Analyst,149925,M
2024,Data Analyst,91260,M
2024,ML Engineer,185000,M
2024,ML Engineer,25000,M
2024,Data Scientist,155000,M
2024,Data Scientist,120000,M
2024,ML Engineer,209700,M
2024,ML Engineer,144600,M
2024,Data Architect,175000,M
2024,Data Architect,117000,M
2024,Data Analyst,77280,M
2024,Data Analyst,58000,M
2024,Data Engineer,170200,M
2024,Data Engineer,125800,M
2024,Data Architect,202730,M
2024,Data Architect,92118,M
2024,Data Analyst,125000,M
2024,Data Analyst,100000,M
2024,Applied Scientist,200000,M
2024,Applied Scientist,160000,M
2024,Data Scientist,157144,M
2024,Data Scientist,93101,M
2024,Data Scientist,160769,M
2024,Data Scientist,115384,M
2024,Applied Scientist,260000,L
2024,Applied Scientist,136000,L
2024,Machine Learning Engineer,189000,M
2024,Machine Learning Engineer,145400,M
2024,Data Architect,200070,M
2024,Data Architect,107730,M
2024,Data Engineer,154000,M
2024,Data Engineer,103000,M
2024,Head of Data,223000,M
2024,Head of Data,205000,M
2024,Data Analyst,209000,M
2024,Data Analyst,120000,M
2024,Machine Learning Engineer,200000,M
2024,Machine Learning Engineer,160000,M
2024,Data Scientist,110000,M
2024,Data Scientist,90000,M
2024,Data Scientist,252000,M
2024,Data Scientist,168000,M
2024,Applied Scientist,222200,L
2024,Applied Scientist,136000,L
2024,Data Analytics Lead,250000,M
2024,Data Scientist,385000,M
2024,Data Scientist,130000,M
2024,Data Scientist,150000,M
2024,Data Scientist,127500,M
2024,Business Intelligence Analyst,142136,M
2024,Business Intelligence Analyst,123596,M
2024,Data Scientist,285200,M
2024,Data Scientist,168600,M
2024,Data Scientist,223500,M
2024,Data Scientist,109100,M
2024,Data Analyst,64500,M
2024,Data Analyst,46500,M
2024,Data Engineer,180500,M
2024,Data Engineer,96200,M
2024,Data Analyst,86940,M
2024,Data Analyst,66000,M
